Date,DayOfWeek,TempHighF,TempAvgF,TempLowF
2013-12-22,Sunday,56,48,39
2013-12-23,Monday,58,45,32
2013-12-24,Tuesday,61,46,31
2013-12-25,Wednesday,58,50,41
2013-12-26,Thursday,57,48,39
2013-12-27,Friday,60,53,45
2013-12-28,Saturday,62,51,40
2013-12-29,Sunday,64,50,36
2013-12-30,Monday,44,40,35
2013-12-31,Tuesday,55,46,36
2014-01-01,Wednesday,69,54,39
2014-01-02,Thursday,55,44,33
2014-01-03,Friday,58,43,28
2014-01-04,Saturday,71,57,42
2014-01-05,Sunday,59,47,34
2014-01-06,Monday,36,29,22
2014-01-07,Tuesday,48,35,22
2014-01-08,Wednesday,53,47,40
2014-01-09,Thursday,70,62,53
2014-01-10,Friday,72,65,57,64
2014-01-11,Saturday,75,62,48
2014-01-12,Sunday,67,57,46
2014-01-13,Monday,71,57,43
2014-01-14,Tuesday,76,57,37
2014-01-15,Wednesday,64,52,40
2014-01-16,Thursday,72,56,40
2014-01-17,Friday,64,54,43
2014-01-18,Saturday,70,54,37
2014-01-19,Sunday,72,59,45
2014-01-20,Monday,82,64,46
2014-01-21,Tuesday,63,51,38
2014-01-22,Wednesday,70,54,37
2014-01-23,Thursday,56,42,27
2014-01-24,Friday,40,33,26
2014-01-25,Saturday,70,48,26
2014-01-26,Sunday,76,60,43
2014-01-27,Monday,60,47,34
2014-01-28,Tuesday,39,33,27
2014-01-29,Wednesday,49,38,27
2014-01-30,Thursday,65,48,31
2014-01-31,Friday,80,68,55
2014-02-01,Saturday,76,66,55
2014-02-02,Sunday,55,45,35
2014-02-03,Monday,46,40,34
2014-02-04,Tuesday,64,53,42
2014-02-05,Wednesday,48,40,31
2014-02-06,Thursday,32,29,26
2014-02-07,Friday,38,34,29
2014-02-08,Saturday,65,51,37
2014-02-09,Sunday,76,59,41
2014-02-10,Monday,60,48,35
2014-02-11,Tuesday,36,35,33
2014-02-12,Wednesday,57,45,33
2014-02-13,Thursday,69,51,32
2014-02-14,Friday,86,67,47
2014-02-15,Saturday,76,59,42
2014-02-16,Sunday,76,68,59
2014-02-17,Monday,81,70,58
2014-02-18,Tuesday,82,69,55
2014-02-19,Wednesday,82,73,63
2014-02-20,Thursday,83,70,57
2014-02-21,Friday,72,57,41
2014-02-22,Saturday,77,63,48
2014-02-23,Sunday,86,74,62
2014-02-24,Monday,76,66,55
2014-02-25,Tuesday,71,62,52
2014-02-26,Wednesday,52,44,36
2014-02-27,Thursday,59,45,31
2014-02-28,Friday,80,62,44
2014-03-01,Saturday,82,68,53